period(s),gaslimit,tps(tx/s),latency(ms),contracttime(渭s),dbreaadtime(渭s),dbwritetime(渭s),blockcommittime(ms)
6,22200000,166.6666667,23581.11686,5.942011444,5584.612111,11834.04033,5993.5
6,22350000,166.6666667,23429.55931,5.938667839,5272.461778,9892.188556,5994.125
6,22500000,166.6666667,23177.41807,5.924791392,8376.061556,10068.84278,5989.625
6,22650000,166.6666667,22940.00112,5.92159228,5103.159222,9750.873778,5994.125
6,22800000,166.6666667,22753.99963,5.916429354,5145.429222,9656.455556,5992.875
6,22950000,190.4761905,22504.12523,5.253801553,6263.584375,10589.0795,5993.714286
6,23100000,190.4761905,22351.82415,5.900338761,4893.649444,9682.901,5995.875
6,23250000,190.4761905,22233.98325,5.893473041,8883.910556,9747.544222,5991.375
6,23400000,190.4761905,22005.72778,5.886841818,5719.669333,10043.77122,5994.875
6,23550000,190.4761905,21836.09936,5.877082199,5538.686667,9861.659444,5995
6,23700000,190.4761905,21632.93413,5.221750952,5719.632,11035.54163,5994.857143
6,23850000,190.4761905,21481.4137,5.212058664,7460.81725,10627.37263,5990.285714
6,24000000,190.4761905,21346.35858,5.211285947,5413.11,12139.76112,5995.142857
6,24150000,190.4761905,21203.54368,5.204119241,8304.064375,11156.20113,5991
6,24300000,190.4761905,21004.59055,5.192961559,5999.804875,11090.21612,5992.571429
6,24450000,190.4761905,20829.20922,5.191325979,8196.3905,11195.26388,5990.714286
6,24600000,190.4761905,20649.21747,5.187770095,6769.98475,10870.43962,5991.428571
6,24750000,190.4761905,20527.12523,5.823910229,5106.951222,9889.458,5994.25
6,24900000,190.4761905,20338.29871,5.173294536,5991.878,10907.20937,5993.142857
6,25050000,190.4761905,20166.7724,5.168353068,6954.921,11039.45763,5990.285714
6,25200000,190.4761905,19922.97288,5.159784946,6477.214375,10854.57737,5991
6,25350000,190.4761905,19917.47632,5.159076262,6169.88425,10720.73488,5992.285714
6,25500000,190.4761905,19883.44057,5.150698174,6379.901375,10821.6225,5992
6,25650000,190.4761905,19864.03775,5.154994629,6177.61125,10732.0355,5992.714286
6,25800000,190.4761905,19954.51494,5.155853921,13548.56563,10492.9345,5983.571429
6,25950000,190.4761905,19880.24222,5.157894737,5308.098375,10633.37612,5993.285714
6,26100000,190.4761905,19897.33846,5.154135338,5920.66575,10879.47313,5992.857143
6,26250000,190.4761905,19844.53231,5.155316864,5712.484875,14029.66012,5993
6,26400000,190.4761905,19882.15961,5.160687433,9523.841125,10774.21138,5987.571429
6,26550000,190.4761905,19859.12423,5.151020408,6344.5275,10769.75487,5992.285714
6,26700000,190.4761905,19910.58668,5.156176155,9722.56625,10918.739,5988.571429
6,26850000,190.4761905,19883.11336,5.154779807,6984.637625,10954.56675,5991.142857
6,27000000,190.4761905,19913.84402,5.156068743,6575.30325,10119.23825,5990.285714
6,27150000,190.4761905,19860.27984,5.155424275,6225.498875,11009.91088,5992.428571
6,27300000,190.4761905,19893.87539,5.156283566,6424.584125,11061.56513,5992.428571
6,27450000,190.4761905,19902.90201,5.155853921,6969.649625,10828.823,5991.571429
6,27600000,190.4761905,19886.03875,5.155316864,8637.34475,10662.46312,5989.571429
6,27750000,190.4761905,19873.37583,5.155531686,5438.678625,10705.51187,5993.285714
6,27900000,190.4761905,19860.42682,5.160042965,6006.602375,11242.10325,5992.571429
6,28050000,190.4761905,19837.62192,5.152094522,6220.71825,10857.23138,5992.285714
6,28200000,190.4761905,19929.34446,5.154994629,6952.963,11134.16063,5991.428571
6,28350000,190.4761905,19849.91314,5.155853921,7403.71475,11088.539,5991.428571
6,28500000,190.4761905,19871.6278,5.155853921,5563.34375,10891.27363,5992.571429
6,28650000,190.4761905,19890.90764,5.155853921,7254.126375,11198.6115,5991
6,28800000,190.4761905,19866.67104,5.155531686,5203.030125,11166.66825,5993.428571
6,28950000,190.4761905,19878.32383,5.155961332,6261.482,10792.87675,5992.428571
6,29100000,190.4761905,19869.35846,5.159613319,5608.66425,16232.052,5991.571429
6,29250000,190.4761905,19816.29934,5.151772288,5993.6375,11135.439,5992.857143
6,29400000,190.4761905,19921.39583,5.156820623,6536.565375,11062.58413,5992.428571
6,29550000,190.4761905,19916.63105,5.154672395,7936.179,11288.25113,5989.142857
6,29700000,190.4761905,19824.85714,5.155531686,5342.14625,11554.397,5993.571429
6,29850000,190.4761905,19806.86027,5.155424275,7488.725125,10894.90638,5990.571429
7,15150000,81.63265306,47687.30246,85150500.06,5216.6174,3892.7682,6993.142857
7,15300000,87.91208791,46950.967,11.36812804,3359.5245,5134.389143,6996
7,15450000,87.91208791,46271.90426,11.35407253,4802.042429,5352.409429,6993.769231
7,15600000,87.91208791,45571.76203,11.34104849,4622.071071,5529.279143,6993.846154
7,15750000,87.91208791,44815.29646,11.32897931,4830.399357,5511.284071,6993
7,15900000,87.91208791,44201.74578,11.31205264,3962.479357,5666.808214,6993.923077
7,16050000,95.23809524,43593.52168,10.49561808,3425.616,6321.090231,6995.833333
7,16200000,95.23809524,43023.93651,10.48168625,4462.607846,6734.749923,6995
7,16350000,95.23809524,42492.87614,10.46870686,3861.896769,7184.995615,6995.5
7,16500000,95.23809524,41853.71416,10.45943461,3774.954846,6997.232154,6995.333333
7,16650000,95.23809524,41294.08536,10.44249311,7020.080538,6551.375462,6991.75
7,16800000,95.23809524,40648.48381,10.43269892,3688.984769,6638.100538,6994.5
7,16950000,103.8961039,40142.38208,9.621965186,4182.531083,7548.637917,6995.454545
7,17100000,103.8961039,39783.59505,9.609013956,3808.575167,7261.188583,6995.818182
7,17250000,103.8961039,39221.86114,9.597234918,4430.317083,7255.266917,6994.545455
7,17400000,103.8961039,38747.21872,9.586281671,4024.064833,8278.567917,6994.818182
7,17550000,103.8961039,38284.94038,9.576493388,4550.0005,6983.87725,6994.545455
7,17700000,103.8961039,37800.94213,9.565360966,3339.422583,6984.769583,6995.636364
