period(s),gaslimit,tps(tx/s),latency(ms),contracttime(μs),dbreaadtime(μs),dbwritetime(μs),blockcommittime(ms),readtime(ms),blockpropagationtime(ms)
7,16650000,163.2653061,16360.52406,4.294307197,4549.651765,9327.44125,4990.428571,4.98ms,blockpropagation
7,16800000,163.2653061,16308.52318,4.295703545,3784.40794,8669.58875,4993,4.45ms,blockpropagation
7,16950000,163.2653061,16314.70991,4.296670247,4101.1159,10012.99563,4992.571429,5.46ms,blockpropagation
7,17100000,163.2653061,16245.82215,4.294307197,3704.256614,8938.36375,4992.571429,4.89ms,blockpropagation
7,17250000,163.2653061,16289.20985,4.833315433,3318.599772,8231.645889,4992.375,4.78ms,blockpropagation
7,17400000,163.2653061,16281.12298,4.296670247,3494.648,9647.73575,4992,4.67ms,blockpropagation
7,17550000,163.2653061,16303.59643,4.297422127,4150.022875,9898.134875,4993.428571,5.32ms,blockpropagation
7,17700000,163.2653061,16254.56368,4.83254565,4854.431135,8532.933444,4990.125,5ms,blockpropagation
7,17850000,163.2653061,16311.37608,4.296455424,4232.802535,9334.3795,4990.857143,5.21ms,blockpropagation
7,18000000,163.2653061,16377.73353,4.833190118,3536.20313,9536.061222,4993.875,4.74ms,blockpropagation
7,18150000,163.2653061,16366.08474,4.834264232,3976.73702,8330.744556,4992.5,5.14ms,blockpropagation
7,18300000,163.2653061,16339.06987,4.295703545,3799.921744,9776.092125,4992.285714,4.88ms,blockpropagation
7,18450000,163.2653061,16369.57705,4.297099893,3960.465528,16051.26788,4995,5.06ms,blockpropagation
7,18600000,163.2653061,16311.44107,4.298066595,5152.197205,9875.462,4994.428571,5.78ms,blockpropagation
7,18750000,163.2653061,16325.67204,4.294092374,2850.157404,11409.76875,4992.857143,6.21ms,blockpropagation
7,18900000,163.2653061,16283.65254,4.295810956,4807.272386,9931.96125,4983.714286,4.51ms,blockpropagation
7,19050000,163.2653061,16309.99288,4.835445757,3928.408155,8803.731889,4992.625,5.55ms,blockpropagation
7,19200000,163.2653061,16262.48569,4.29377014,3279.159848,9964.684125,4991.714286,5.11ms,blockpropagation
7,19350000,163.2653061,16313.12211,4.295703545,3890.722,9731.40075,4993.571429,5.15ms,blockpropagation
7,19500000,163.2653061,16278.9685,4.297744361,3107.5628,9481.489125,4993.142857,4.95ms,blockpropagation
7,19650000,163.2653061,16323.72053,4.295488722,4100.432444,11883.48888,4993.142857,4.18ms,blockpropagation
7,19800000,163.2653061,16305.4277,4.296455424,3732.421745,9048.297625,4991.428571,4.94ms,blockpropagation
7,19950000,163.2653061,16325.49744,4.834156821,3546.393565,9396.614333,4994.25,4.49ms,blockpropagation
7,20100000,163.2653061,16313.6003,4.29538131,3490.095321,9983.73875,4993.285714,5.29ms,blockpropagation
7,20250000,163.2653061,16314.30121,4.297959184,3363.86138,9054.724,4993.428571,5.64ms,blockpropagation
7,20400000,163.2653061,16327.51456,4.835445757,3428.697212,9464.277556,4994,4.51ms,blockpropagation
