period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
12,21000000,2.98ms,7754.457666666667µs,3487.057638888888µs,4991.166666666667ms,95.23809524,16548.085420944557ms,3.012032660077353ms
12,22500000,4.4ms,7996.32511111111µs,3236.3674545454546µs,4991.5ms,95.23809524,17144.79713114754ms,3.0112806188225183ms
12,24000000,4.14ms,8222.561666666666µs,3361.4296315789484µs,4988.5ms,95.23809524,18072.60790651417ms,3.011173184357542ms
12,25500000,4.14ms,8205.29577777778µs,3142.2505000000006µs,4991ms,95.23809524,15708.722311683665ms,3.0118177911474002ms
12,27000000,3.98ms,7541.455666666666µs,3656.529914285715µs,4988.5ms,95.23809524,17124.126678693126ms,3.011602922217447ms
12,28500000,4.1ms,8779.692888888889µs,3316.2916730769234µs,4988.166666666667ms,95.23809524,16585.438045375216ms,3.016222604211431ms
12,30000000,4.92ms,8114.726111111111µs,3356.007250000001µs,4990.666666666667ms,95.23809524,16942.7674965693ms,3.0107434464976364ms
13,15000000,4.15ms,7956.539µs,3346.653594594594µs,4991ms,87.91208791,15809.985470625395ms,3.011710356682424ms
13,16500000,3.82ms,7887.908777777779µs,4226.249250000002µs,4978.833333333333ms,87.91208791,18861.30018894662ms,3.0112806188225183ms
13,18000000,4.24ms,8535.76511111111µs,3636.7660196078427µs,4989.166666666667ms,87.91208791,16530.536844484628ms,3.0124623979372585ms
13,19500000,5.2ms,8379.859333333334µs,3336.7179318181807µs,4990.833333333333ms,87.91208791,17052.716271463614ms,3.0118177911474002ms
13,21000000,4.21ms,8467.516µs,3150.150529411765µs,4991.833333333333ms,87.91208791,17041.08962264151ms,3.011710356682424ms
13,22500000,4.63ms,11371.414222222222µs,3523.2559791666663µs,4990ms,87.91208791,17264.90799746782ms,3.0149333906317146ms
13,24000000,3.66ms,8141.716555555555µs,3226.687184210526µs,4991ms,87.91208791,16611.071258907363ms,3.012032660077353ms
13,25500000,5.4ms,8412.445444444445µs,3485.7858095238084µs,4990.833333333333ms,87.91208791,16537.741556167126ms,3.0118177911474002ms
13,27000000,4.48ms,8336.556222222222µs,3591.7084166666664µs,4988.166666666667ms,87.91208791,16495.569842738205ms,3.011602922217447ms
13,28500000,4.84ms,7845.664111111111µs,3007.5690909090913µs,4992.166666666667ms,87.91208791,16243.968689601856ms,3.011602922217447ms
13,30000000,3.71ms,8037.162444444444µs,2867.330125µs,4991ms,87.91208791,16991.12541050903ms,3.011495487752471ms
14,15000000,4.4ms,8450.820555555556µs,3007.5425454545452µs,4987.666666666667ms,81.63265306,17054.281409081654ms,3.0143962183068327ms
14,16500000,4.85ms,8110.984888888889µs,3140.048586956521µs,4991.5ms,81.63265306,16852.8809478673ms,3.0119252256123765ms
14,18000000,3.82ms,15140.00311111111µs,3049.1575490196074µs,4990.333333333333ms,81.63265306,16720.209238509033ms,3.0107434464976364ms
14,19500000,4.27ms,5578.409777777778µs,2974.7078958333336µs,4992.5ms,81.63265306,17161.55171704709ms,3.0112806188225183ms
14,21000000,4.28ms,6788.117888888889µs,3490.892428571428µs,4990.666666666667ms,81.63265306,16254.587082884822ms,3.01063601203266ms
14,22500000,3.78ms,6606.100999999999µs,3548.0223043478263µs,4990.666666666667ms,81.63265306,16538.505465779468ms,3.0107434464976364ms
14,24000000,3.91ms,6473.869µs,3401.6173µs,4992.833333333333ms,81.63265306,16797.884547069272ms,3.015577997421573ms
14,25500000,5.23ms,6354.2863333333335µs,3568.0560930232555µs,4992ms,81.63265306,17670.798521975885ms,3.0124623979372585ms
14,27000000,4.47ms,7110.627666666666µs,3405.2401489361705µs,4991.666666666667ms,81.63265306,17516.690401785716ms,3.011495487752471ms
14,28500000,4.81ms,6419.212666666666µs,3982.99123255814µs,4988.333333333333ms,81.63265306,17365.197512250284ms,3.011495487752471ms
14,30000000,4.65ms,8018.7155555555555µs,3363.612716981133µs,4990.333333333333ms,81.63265306,17180.446574752263ms,3.012140094542329ms
15,15000000,4.47ms,6980.962777777777µs,3251.868076923076µs,4991.666666666667ms,76.19047619,17088.2151503319ms,3.0112806188225183ms
15,16500000,4.88ms,7215.300333333334µs,2772.4364545454537µs,4991ms,76.19047619,18422.80685424159ms,3.0107434464976364ms
15,18000000,4.2ms,6870.321111111111µs,3928.8499583333337µs,4990.333333333333ms,76.19047619,16860.28190279214ms,3.0112806188225183ms
15,19500000,4.32ms,7413.072666666666µs,3934.3140961538465µs,4981.5ms,76.19047619,16577.707740535327ms,3.0113880532874946ms
15,21000000,4.99ms,7174.379333333334µs,4115.838036363636µs,4988ms,76.19047619,17378.219502407705ms,3.0123549634722817ms
15,22500000,5.41ms,7252.260666666666µs,3867.1583043478267µs,4989.333333333333ms,76.19047619,16364.09966555184ms,3.0143962183068327ms
15,24000000,3.98ms,7634.578µs,3553.6243600000003µs,4990ms,76.19047619,16726.203233729022ms,3.0125698324022347ms
15,25500000,5.32ms,7949.5742222222225µs,3858.628851063829µs,4991.166666666667ms,76.19047619,16801.011332551778ms,3.0119252256123765ms
15,27000000,5.15ms,8629.721777777779µs,3189.2364791666664µs,4990.166666666667ms,76.19047619,16747.976835879745ms,3.0119252256123765ms
15,28500000,3.75ms,8559.425666666668µs,3450.879523809523µs,4989.333333333333ms,76.19047619,15847.076231167079ms,3.012140094542329ms
15,30000000,4.17ms,9714.574888888888µs,3538.457160714286µs,4988ms,76.19047619,16795.226793248945ms,3.0128921357971636ms
16,15000000,5.11ms,8381.306µs,3985.298936170211µs,4989.833333333333ms,71.42857143,16947.911481844945ms,3.0113880532874946ms
16,16500000,5.22ms,8470.196111111112µs,3523.256531914893µs,4988.666666666667ms,71.42857143,16803.574521232305ms,3.0168672110012893ms
16,18000000,4.47ms,8828.284555555554µs,3951.5466136363652µs,4986.833333333333ms,71.42857143,17468.467800453516ms,3.011710356682424ms
16,19500000,4.83ms,8749.205666666665µs,3326.1146956521734µs,4990.166666666667ms,71.42857143,17810.89775561097ms,3.01299957026214ms
16,21000000,4.53ms,10469.022555555557µs,3994.4278124999983µs,4984.5ms,71.42857143,17112.435436071126ms,3.025676837129351ms
16,22500000,4.03ms,8804.579666666665µs,3841.9144772727273µs,4989.666666666667ms,71.42857143,17625.910521582733ms,3.011710356682424ms
